Username,Display Name,Team Voted Short,Team Voted,Points
.selmonbhai,Tanjiro kamado,RR,Rajasthan Royals,0
aakashmangla,Babu Bhaiya,RR,Rajasthan Royals,0
aayush1965070,Aayush196,KKR,Kolkata Knight Riders,1.0
amangoyal,Aman,KKR,Kolkata Knight Riders,1.0
ashmrth,Ashmrth,RR,Rajasthan Royals,0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,Rajasthan Royals,0
crazybats_v,Casper,KKR,Kolkata Knight Riders,1.0
d3vilbring3r,d3vilbring3r,RR,Rajasthan Royals,0
dag_21,daggr,RR,Rajasthan Royals,0
darkwolf_newbie,Darkwolf,KKR,Kolkata Knight Riders,1.0
dudhwalaop69,DudhWalaOP,KKR,Kolkata Knight Riders,1.0
fawaz4413,,RR,Rajasthan Royals,0
gladiator30,Gladiator,RR,Rajasthan Royals,0
hungry_wolf,HungrY_WolF,KKR,Kolkata Knight Riders,1.0
itsdomtoretto,Dom,KKR,Kolkata Knight Riders,1.0
jadelessbarukan,jadeless,KKR,Kolkata Knight Riders,1.0
jayzus01,Jayan,KKR,Kolkata Knight Riders,1.0
jubilant_chipmunk_76062,,RR,Rajasthan Royals,0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,1.0
max._.caulfield,Max,KKR,Kolkata Knight Riders,1.0
mrj619,MrJ619,RR,Rajasthan Royals,0
reflekt_11,Reflekt,RR,Rajasthan Royals,0
rithick_devaraj,rithick_devaraj,RR,Rajasthan Royals,0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,1.0
singh84,Singh,KKR,Kolkata Knight Riders,1.0
static_25,Static,KKR,Kolkata Knight Riders,1.0
the_mizer,DrVimp,KKR,Kolkata Knight Riders,1.0
thefarzi,Farzi,KKR,Kolkata Knight Riders,1.0
thewebshooter,TheWebShooter,KKR,Kolkata Knight Riders,1.0
tushar07019,,KKR,Kolkata Knight Riders,1.0
vader8726,vader,KKR,Kolkata Knight Riders,1.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
