Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Winner_Week1,Winner_Week2,Total
1,↑2,1,↑2,jadelessbarukan,jadeless,5.0,7.0,12.0
2,↑2,2,↑2,static_25,Static,4.0,6.0,10.0
3,↑2,3,↑5,khanatfarm,KHANatFARM,3.0,6.0,9.0
3,↑2,3,↑5,light_itachi_op,Monkey Uzumaki,3.0,6.0,9.0
3,↓2,3,↓2,maverick7749,Mav,7.0,2.0,9.0
3,↑3,3,↑13,roarycat,RoaryCat,2.0,7.0,9.0
3,↑2,3,↑5,thefarzi,Farzi,3.0,6.0,9.0
3,↑1,3,↑1,thewebshooter,TheWebShooter,4.0,5.0,9.0
4,—,9,↓5,crazybats_v,Casper,4.0,4.0,8.0
4,↑3,9,↑17,gooffyluffyy,Luffy,1.0,7.0,8.0
4,↑1,9,↓1,roguehunter15,RogueHunter,3.0,5.0,8.0
4,↑2,9,↑7,slidemaster0547,Slide Master,2.0,6.0,8.0
4,↑2,9,↑7,tushar07019,,2.0,6.0,8.0
5,↑3,14,↑28,astrobot_7,PS_USER,0.0,7.0,7.0
5,—,14,↓6,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,4.0,7.0
5,—,14,↓6,hungry_wolf,HungrY_WolF,3.0,4.0,7.0
5,↓3,14,↓12,max._.caulfield,Max,6.0,1.0,7.0
5,↑1,14,↑2,vahgar,Allen The Alien,2.0,5.0,7.0
6,↓1,19,↓11,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,6.0
6,↑2,19,↑23,reflekt_11,Reflekt,0.0,6.0,6.0
6,↑2,19,↑23,sriprakash,Sri Prakash,0.0,6.0,6.0
7,↓3,22,↓18,ashmrth,Ashmrth,4.0,1.0,5.0
7,—,22,↑4,croco_boya,Croco,1.0,4.0,5.0
7,—,22,↑4,darkwolf_newbie,Darkwolf,1.0,4.0,5.0
7,—,22,↑4,rishavmaiti,rishavmaiti,1.0,4.0,5.0
8,N,26,N,csharp21,CSharp,0.0,4.0,4.0
8,—,26,↑16,dag_21,daggr,0.0,4.0,4.0
8,—,26,↑16,elprofesor6338,Èl Profesor™,0.0,4.0,4.0
8,↓1,26,—,fezvaz,Vaz,1.0,3.0,4.0
8,↓2,26,↓10,pkmkb6011,Sunny Paaji,2.0,2.0,4.0
8,↓1,26,—,the_mizer,DrVimp,1.0,3.0,4.0
8,↓3,26,↓18,vader8726,vader,3.0,1.0,4.0
9,↓1,33,↑9,emptycases,J,0.0,3.0,3.0
9,N,33,N,gane_sh,Gane_sh,0.0,3.0,3.0
9,↓2,33,↓7,gladiator30,Gladiator,1.0,2.0,3.0
9,N,33,N,iamthathit,IamthatHit,0.0,3.0,3.0
10,↓4,37,↓21,1nv1nc1b1e18,Him.,2.0,0.0,2.0
10,↓4,37,↓21,asterayah,Zarathon,2.0,0.0,2.0
10,↓4,37,↓21,bigshikki,BigShik,2.0,0.0,2.0
10,N,37,N,cdgamers14,cdgamers😎,0.0,2.0,2.0
10,↓3,37,↓11,fawaz4413,,1.0,1.0,2.0
10,↓4,37,↓21,insane_dwane,Insane_Dwane,2.0,0.0,2.0
10,↓4,37,↓21,nullpixel96,Nullpixel96,2.0,0.0,2.0
11,↓4,44,↓18,aayush1965070,Aayush196,1.0,0.0,1.0
11,↓4,44,↓18,amangoyal,Aman,1.0,0.0,1.0
11,↓4,44,↓18,dudhwalaop69,DudhWalaOP,1.0,0.0,1.0
11,N,44,N,garageembark,DEFALT,0.0,1.0,1.0
11,↓4,44,↓18,itsdomtoretto,Dom,1.0,0.0,1.0
11,↓4,44,↓18,jayzus01,Jayan,1.0,0.0,1.0
11,N,44,N,lelouch1806,lelouch,0.0,1.0,1.0
11,↓4,44,↓18,light083969,Light,1.0,0.0,1.0
11,N,44,N,liv4sid,Sid,0.0,1.0,1.0
11,N,44,N,sayaks05,Cold_fart10,0.0,1.0,1.0
11,↓4,44,↓18,shieldofachielles,shield of Achielles,1.0,0.0,1.0
11,↓4,44,↓18,singh84,Singh,1.0,0.0,1.0
11,N,44,N,speedsterjk,SpeedsterJK,0.0,1.0,1.0
12,↓4,57,↓15,.selmonbhai,Tanjiro kamado,0.0,0.0,0.0
12,N,57,N,_simplet0n,ZePHyR,0.0,0.0,0.0
12,↓4,57,↓15,aakashmangla,Babu Bhaiya,0.0,0.0,0.0
12,N,57,N,colac07,Colac,0.0,0.0,0.0
12,↓4,57,↓15,d3vilbring3r,d3vilbring3r,0.0,0.0,0.0
12,N,57,N,drunk6202,DRUNK GAMBLER 🍻,0.0,0.0,0.0
12,N,57,N,ffirsty,FIRSTY,0.0,0.0,0.0
12,N,57,N,fullmetal77,FullMetal77,0.0,0.0,0.0
12,↓4,57,↓15,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0
12,↓4,57,↓15,jubilant_chipmunk_76062,,0.0,0.0,0.0
12,N,57,N,kakashi019805,Kakashi,0.0,0.0,0.0
12,↓4,57,↓15,mrj619,MrJ619,0.0,0.0,0.0
12,↓4,57,↓15,nftprofessor,NFTProfessor,0.0,0.0,0.0
12,↓4,57,↓15,riq9634,Riq,0.0,0.0,0.0
12,↓4,57,↓15,rithick_devaraj,rithick_devaraj,0.0,0.0,0.0
12,↓4,57,↓15,sauzz,Sauzz,0.0,0.0,0.0
12,N,57,N,weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0
