Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
astrobot_7,PS_USER,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
billuda,BILLUDA,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
crazybats_v,Casper,61+R,Win by 61+ runs OR by 5-6 wickets,0
csharp21,CSharp,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
deadshot06.,,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
fezvaz,Vaz,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
gamerpradosh,Gamer Pradosh,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
gane_sh,Gane_sh,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
gladiator30,Gladiator,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
gooffyluffyy,Luffy,1-10R,Win by 1-10 runs OR by 7-8 wickets,3.0
hungry_wolf,HungrY WolF,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
insane_dwane,Insane_Dwane,1-10R,Win by 1-10 runs OR by 7-8 wickets,3.0
jadelessbarukan,jadeless,61+R,Win by 61+ runs OR by 5-6 wickets,0
jerry0_o,Jerry0_0,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
khanatfarm,KHANatFARM,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
lelouch1806,lelouch,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
light_itachi_op,Lassi Sassy,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
maverick7749,Mav,1-10R,Win by 1-10 runs OR by 7-8 wickets,3.0
max._.caulfield,Max,1-10R,Win by 1-10 runs OR by 7-8 wickets,3.0
pkmkb6011,Victor,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
reflekt_11,Reflekt,61+R,Win by 61+ runs OR by 5-6 wickets,0
rishavmaiti,rishavmaiti,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
roarycat,RoaryCat,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
roguehunter15,RogueHunter,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
shieldofachielles,shield of Achielles,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
slidemaster0547,Slide Master,61+R,Win by 61+ runs OR by 5-6 wickets,0
sriprakash,Sri Prakash,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
static_25,Michael,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
thefarzi,Farzi,61+R,Win by 61+ runs OR by 5-6 wickets,0
thewebshooter,TheWebShooter,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
tushar07019,,1-10R,Win by 1-10 runs OR by 7-8 wickets,3.0
vahgar,Allen The Alien,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
